GameID,Team,Season,FT%,FTM,FTA,FG%,FGM,FGA,3Point%,3PM,3PA,SecondChancePts,Assists,Rebounds,BenchPoints,FastbreakPts,PointsinthePaint,PointsOffTurnovers,Turnovers,LargestLead,TimeofLargestLead,LeadChanges,Ties,FirstQtr,SecondQtr,ThirdQtr,FourthQtr,TotalPoints,Win,Home
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_vjyx.xml?view=teamstats,Algoma,2014-15,0.65,13,20,0.407,24,59,0.429,9,21,6,8,26,53,,,12,20,3,1st -- 04:36,8,6,17,16,21,16,70,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_vjyx.xml?view=teamstats,Waterloo,2014-15,0.789,15,19,0.471,24,51,0.556,10,18,5,13,35,5,,,17,22,11,2nd -- 02:27,8,6,19,20,18,16,73,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_vvwy.xml?view=teamstats,Brock,2014-15,0.7,14,20,0.462,30,65,0.294,5,17,10,5,25,14,,,20,11,2,1st -- 09:38,5,0,12,29,22,16,79,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150110_vvwy.xml?view=teamstats,Lakehead,2014-15,0.538,14,26,0.508,32,63,0.444,8,18,17,12,37,18,,,12,16,17,1st -- 00:45,5,0,29,18,22,17,86,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150114_9lkb.xml?view=teamstats,Ryerson,2014-15,0.857,12,14,0.429,33,77,0.324,11,34,9,21,54,26,,,23,14,44,4th -- 04:34,2,0,21,21,30,17,89,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150114_9lkb.xml?view=teamstats,York,2014-15,0.545,6,11,0.29,18,62,0.265,9,34,4,12,38,27,,,7,24,1,1st -- 09:09,2,0,12,14,8,17,51,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150114_dwk7.xml?view=teamstats,Laurier,2014-15,0.611,11,18,0.406,26,64,0.429,6,14,12,11,48,13,,,4,13,14,2nd -- 03:03,3,3,17,19,21,12,69,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150114_dwk7.xml?view=teamstats,Western,2014-15,0.742,23,31,0.429,24,56,0.333,4,12,4,8,34,12,,,7,7,7,4th -- 03:29,3,3,11,17,28,19,75,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150114_lf3n.xml?view=teamstats,Waterloo,2014-15,0.706,12,17,0.397,27,68,0.308,8,26,0,7,31,7,,,20,9,10,4th -- 07:03,12,8,21,20,14,19,74,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150114_lf3n.xml?view=teamstats,Windsor,2014-15,0.5,12,24,0.469,30,64,0.269,7,26,10,10,42,30,,,11,13,5,1st -- 06:44,12,8,22,17,17,23,79,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150116_2s80.xml?view=teamstats,Carleton,2014-15,0.737,14,19,0.585,38,65,0.478,11,23,19,18,39,34,,,20,10,48,4th -- 02:20,3,4,21,28,31,21,101,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150116_2s80.xml?view=teamstats,Guelph,2014-15,0.926,25,27,0.314,16,51,0.2,2,10,7,7,26,23,,,4,15,6,1st -- 02:56,3,4,15,4,18,22,59,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150116_amqs.xml?view=teamstats,Algoma,2014-15,0.615,8,13,0.317,19,60,0.357,10,28,9,10,24,56,,,10,15,,,0,0,16,12,13,15,56,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150116_amqs.xml?view=teamstats,Ryerson,2014-15,0.769,20,26,0.596,34,57,0.5,11,22,4,10,36,99,,,25,10,,,0,0,24,18,31,26,99,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150116_n142.xml?view=teamstats,Laurentian,2014-15,0.8,12,15,0.437,31,71,0.4,6,15,13,15,41,2,,,21,19,19,2nd -- 08:55,6,5,29,17,19,15,80,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150116_n142.xml?view=teamstats,McMaster,2014-15,0.615,16,26,0.392,29,74,0.333,9,27,17,17,45,19,,,27,17,3,1st -- 09:39,6,5,14,26,22,21,83,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150116_n4b8.xml?view=teamstats,Brock,2014-15,0.647,11,17,0.492,30,61,0.417,5,12,1,10,28,38,,,25,21,,,0,1,22,14,22,18,76,1,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150116_n4b8.xml?view=teamstats,Nipissing,2014-15,0.667,14,21,0.327,18,55,0.278,5,18,9,10,27,29,,,15,26,,,0,1,15,14,12,14,55,0,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150116_wkm4.xml?view=teamstats,Lakehead,2014-15,0.6,6,10,0.537,29,54,0.522,12,23,8,15,24,20,2,20,15,15,3,1st -- 08:01,10,3,19,16,19,22,76,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150116_wkm4.xml?view=teamstats,Ottawa,2014-15,0.7,14,20,0.492,32,65,0.344,11,32,15,11,33,16,2,32,19,7,17,4th -- 02:39,10,3,18,23,21,27,89,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150117_6pva.xml?view=teamstats,Brock,2014-15,0.7,14,20,0.413,31,75,0.25,5,20,12,21,30,10,,,18,13,4,1st -- 09:21,3,2,12,20,22,27,81,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150117_6pva.xml?view=teamstats,Laurentian,2014-15,0.793,23,29,0.517,31,60,0.333,4,12,11,22,36,8,,,19,19,22,4th -- 03:39,3,2,18,18,26,27,89,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150117_8rtz.xml?view=teamstats,Queen's,2014-15,0.308,4,13,0.388,26,67,0.28,7,25,4,17,36,21,,,13,17,,,0,0,9,19,17,18,63,0,0
http://oua.ca/sports/mbkb/2014-15/boxscores/20150117_8rtz.xml?view=teamstats,York,2014-15,0.875,21,24,0.364,24,66,0.333,7,21,6,12,38,23,,,5,12,,,0,0,20,10,20,26,76,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150117_9v5t.xml?view=teamstats,Carleton,2014-15,0.815,22,27,0.532,33,62,0.531,17,32,18,22,43,38,,,22,12,,,0,1,18,32,32,23,105,1,1
http://oua.ca/sports/mbkb/2014-15/boxscores/20150117_9v5t.xml?view=teamstats,Lakehead,2014-15,0.758,25,33,0.306,15,49,0.176,3,17,4,7,25,16,,,6,15,,,0,1,9,10,22,17,58,0,0
